Comments,stance
అందరికీ శోభకృత్ నామ ఉగాది శుభాకాంక్షలు ,neutral
"షడ్రుచుల సమ్మేళనంతో ప్రారంభమయ్యే ఉగాది తెలుగు లోగిళ్ళలో నూతన సంవత్సర శోభను తెస్తూ, కొత్త లక్ష్యాలకు, కొత్త ఆలోచనల…",neutral
నిరు­పేద కుటుంబానికి చెందిన 15ఏళ్ల బాలుడికి గుండె మార్పిడి శస్త్రచికిత్స చేసి టీటీడీ వారి శ్రీపద్మావ­తి చిన్న­పిల్ల…,neutral
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
పట్టభద్రుల ఎన్నికల ఓటింగ్ సరళి 2019 అసెంబ్లీ ఎన్నికలతో చూస్తే ఎలా ఉంది? MLC ఎన్నికల సరళిని ఆధారంగా చేసుకుని చూస్తే 2024 లో T…,neutral
*తెలుగు రాష్ట్ర ప్రజలందరికీ శోభకృత్ నామ సంవత్సర ఉగాది శుభాకాంక్షలు* *తెలియజేసిన సీఎం జగన్ మోహన్ రెడ్డి గారు* Y…,neutral
"మామిడి పువ్వు పూతకొచ్చింది,కోయిల గొంతుకు కూత వచ్చింది,వేప కొమ్మకు పూవు మొలిచింది, పసిడి బెల్లం తోడు వచ్చింది, ఇంటి ఇంటికి…",neutral
మహానేత వైఎస్ఆర్ విగ్రహానికి పూలమాల వేసిన జగన్ అన్న,favour
జగన్anna Gorumudda-Ragi Java: బడి పిల్లలకు మరో పోషకాహారం ఉదయం పూట రాగి జావ (ఫొటోలు),neutral
పంచాంగ పఠనం చేసిన సుబ్బరామ సోమయాజి గారిని సన్మానించిన జగనన్న,favour
చంద్రబాబు పోయిండు జగన్ వంగిండు మోడీకి లొంగని ఏకైక పార్టీ కాబట్టే ఈడీ దాడి అసలు కుట్ర ఏంటో చె…,against
చంద్రబాబు పోయిండు జగన్ వంగిండు మోడీకి లొంగని ఏకైక పార్టీ కాబట్టే ఈడీ దాడి అసలు కుట్ర ఏంటో చె…,against
తెలుగు రాష్ట్ర ప్రజలందరికీ శోభకృత్ నామ సంవత్సర ఉగాది శుభాకాంక్షలు తెలియజేసిన సీఎం జగన్ మోహన్ రెడ్డి గారు YS J…,neutral
రాష్ట్ర ప్రజలకు ఉగాది పండుగ శుభాకాంక్షలు తెలిపిన జగనన్న,neutral
తన అద్భుతమైన గాత్రంతో జగనన్న దంపతుల మనసు గెలుచుకున్న చిన్నారి ,neutral
సింపుల్ గా రెండే రెండు ముక్కల్లో ఇదీ ఇద్దరి మధ్య వ్యత్యాసం,neutral
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
సీఎం జగన్‌ నివాసంలో ఘనంగా ఉగాది వేడుకలు'',neutral
జై జగన్ మోహన్ రెడ్డి అన్న,favour
Ugi శుభాకాంక్షలు భా ఇంట్లోనే ఉగాది పచ్చడి చేసుకుని తినడం మంచిది,neutral
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
మొన్న కదిరి లో Nara Lokesh ఓపెన్ చేసిన అన్నా క్యాంటీన్ నిన్న మూసేసిన తెలుగు తమ్ముళ్లు వన్ డే ముచ్చట …,neutral
నా బావ కి కూడా పాము కరిచింది చనిపోయే వరకు వెళ్ళాడు ఆరోగ్యశ్రీ వల్ల ఫ్రీ గా చూసారు పెద్ద హాస్పిటల్ లో…,neutral
ఈ రోజు పద్దన్నే ఏరిగి ఈన్నే కడుక్కున్య నీళ్లు సల్లగుండాయి,neutral
చెట్లెక్కిన మామిడాకులు కోసినా యాప పూత తెంపినా మామిడికాయలు కోసిన కొట్టుకు పోయి బెల్లం తెచ్చినా కష్టపడ్డా చెమటో…,neutral
పప్పు గాడు,against
జగన్ మావయ్య ని నమ్మినట్టే గొర్రె కసాయి ని నమ్మినట్టు,against
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
ప్రతి ఒక్కరి ఉజ్వల భవిష్యత్తుకు దోహదపడాలి జగన్ నివాసంలో ఉగాది వేడుకలు,against
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
ఉగాది పండుగ వేడుకల్లో చిన్నారులతో జగనన్న,favour
అందరికీ శ్రీ శోభకృత్ నామ సంవత్సర ఉగాది శుభాకాంక్షలు - సీఎం శ్రీ వైఎస్ జగన్ మోహన్గారు …,neutral
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
ఉగాది సంబరాల్లో కళాకారుల ప్రదర్శనను వీక్షిస్తున్న సీఎం జగన్ దంపతులు,neutral
రాష్ట్ర ప్రజలకు ఉగాది పండుగ శుభాకాంక్షలు తెలిపిన జగనన్న,favour
తెలుగు రాష్ట్రాల ప్రజలందరికీ శోభకృత నామ నూతన సంవత్సర శుభాకాంక్షలు,neutral
పట్టభద్రుల ఎన్నికల ఓటింగ్ సరళి 2019 అసెంబ్లీ ఎన్నికలతో చూస్తే ఎలా ఉంది? MLC ఎన్నికల సరళిని ఆధారంగా చేసుకుని చూస్తే 2024 లో T…,against
ఉగాది వేడుకల్లో పంచాంగ పఠనం చేసిన సుబ్బరామ సోమయాజి గారిని సన్మానించిన జగనన్న,favour
జగనన్న భారతమ్మ,favour
"ఉగాది వేడుకల్లో జగన్ దంపతులు, తెలుగుదనం ఉట్టిపడేలా సీఎం వస్త్రధారణ",favour
ప్ర‌పంచ వ్యాప్తంగా ఉన్న తెలుగు ప్ర‌జ‌లంద‌రికీ శ్రీ శోభ‌కృత్ నామ సంవ‌త్స‌ర ఉగాది శుభాకాంక్ష‌లు వైఎస్ జగన్ మోహన్Redd…,favour
రాష్ట్ర ప్రజలందరికీ ఉగాది శుభాకాంక్షలు,favour
రాష్ట్ర ప్రజలందరికీ శ్రీ శోభకృత్ నామ సంవత్సర ఉగాది శుభాకాంక్షలు ఈ నూతన సంవత్సరంలో రాష్ట్రంలోని ప్రతి ఇల్లు ఆయురారోగ్యా…,favour
ఈ ఉగాది తెలుగు ప్రజలందరికీ ఉప్పొంగే ఉత్సాహాలను చిగురించే సంతోషాలను విరబూసే వసంతాలను అందించాలని ఆకాంక్షిస్తూ శ్రీ శోభకృ…,favour
అందరికీ ఉగాది శుభాకాంక్షలు ,neutral
తెలుగు ప్ర‌జ‌లంద‌రికీ శ్రీ శోభ‌కృత్ నామ సంవ‌త్స‌ర ఉగాది శుభాకాంక్ష‌లు - మంత్రివర్యులు పెద్దిరెడ్డి రామచంద్రా రెడ్డి…,favour
"ఈ ఉగాది పండుగ అందరి జీవితాల్లో ఎనలేని ఆనందం, ఐశ్వర్యం తీసుకురావాలని ఆ భగవంతుడిని ప్రార్ధిస్తూ శ్రీ శోభ‌కృత్ నామ సంవత్సర…",neutral
కోయిలమ్మ రాగాలు మామిడి రుచులతో కొత్త సంవత్సరానికి స్వాగతం ఉగాది మీ ఆనందాలను రెట్టింపు చేయాలని మీరందరూ ఆయురారో…,neutral
"పౌరులందరికీ శ్రీ శోభకృత్ నామ సంవత్సర ఉగాది శుభాకాంక్షలు ఈ కొత్త సంవత్సరం మీకు సర్వ విధాల శుభాల‌నూ, విజయాల‌నూ,ఆయురారోగ్యా…",neutral
సోభకృత్ నామ ఉగాది శుభాకాంక్షలు ,neutral
రాష్ట్ర ప్రజలందరికీ ఉగాది శుభాకాంక్షలు - సీఎం జగన్,favour
తాడేపల్లిలోని నివాసంలో జరిగిన శ్రీ శోభకృత్ నామ ఉగాది వేడుకల్లో పాల్గొన్న ముఖ్యమంత్రి శ్రీ వైఎస్ జగన్ మోహన్ రెడ్డి దంపతులు…,favour
"రాష్ట్ర ప్రజలందరికీ ఉగాది శుభాకాంక్షలు శోభకృత్ నామ సంవత్సరంలో అన్నీ శుభాలు జరగాలని, రైతులకు మేలు కలగాలని, నా అక్కచెల్లెమ్మలు…",neutral
ఉగాది శుభాకాంక్షలు,neutral
అందరికీ ఉగాది శుభాకాంక్షలు,neutral
"ఈ ప్రభుత్వం అభివృద్ధి ,సంక్షేమంతో దూసుకుపోతుంది - వేద పండితులు",favour
ఉగాది వేడుకల్లో పాల్గొన్న కళాకారులను పలకిరిస్తున్న జగనన్న,favour
"మీకు , మీ కుటుంబ సభ్యులకు ఉగాది శుభాకాంక్షలు జగనన్న",neutral
ఉగాది వేడుకల్లో జగనన్న దంపతులు,favour
పంచాంగ శ్రవణం కార్యక్రమంలో పాల్గొన్న జగనన్న దంపతులు,favour
నూతన పంచాంగాన్ని ఆవిష్కరించిన జగనన్న,favour
రాష్ట్ర ప్రజలందరికీ శ్రీ శోభకృత్ నామ సంవత్సర ఉగాది శుభాకాంక్షలు ఈ నూతన సంవత్సరంలో రాష్ట్రంలోని ప్రతి ఇల్లు ఆయురారో…,neutral
రాష్ట్ర ప్రజలందరికీ శ్రీ శోభకృత్ నామ సంవత్సర ఉగాది శుభాకాంక్షలు ఈ నూతన సంవత్సరంలో రాష్ట్రంలోని ప్రతి ఇల్లు ఆయురా…,neutral
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
"రాష్ట్ర ప్రజలందరికీ ఉగాది శుభాకాంక్షలు శోభకృత్ నామ సంవత్సరంలో అన్నీ శుభాలు జరగాలని, రైతులకు మేలు కలగాలని, నా అక్కచెల్లెమ్మలు…",neutral
ఉగాది పంచాంగంలో పాల్గొన్న జగన్ దంపతులు,neutral
"ఉగాది పర్వదినమున వేడుకల్లో పాల్గొన్న జగనన్న , భారతమ్మ",neutral
వైఎస్ఆర్ విగ్రహానికి పూలమాల వేసిన జగనన్న,favour
తులసి మొక్కకు పూజ చేసిన జగనన్న,favour
తెలుగు ప్రజలకు ఉగాది శుభాకాంక్షలు తెలిపిన సీఎం జగన్  సీఎం జగన్  CVR …,favour
జనసేన వలన మేం గెలవలేదు పిల్లి మాణిక్యాల రావు షాకింగ్ కామెంట్స్   Prime9 …,neutral
మీకు మీ కుటుంబానికి శోభకృత ఉగాది శుభాకాంక్షలు,neutral
"పిల్లలకు మంచి మేనమామలా, పిల్లల తల్లులకు మంచి అన్నలా ఈ కార్యక్రమాన్ని చేపడుతున్నాం మనం చేయకపోతే ఇంకెవరు చేస్తారన్న మం…",favour
ఉగాది వేడుకలు పాల్గొన్న జగనన్న దంపతులు,favour
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
ప్ర‌పంచ వ్యాప్తంగా ఉన్న తెలుగు ప్ర‌జ‌లంద‌రికీ శ్రీ శోభ‌కృత్ నామ సంవ‌త్స‌ర ఉగాది శుభాకాంక్ష‌లు …,neutral
"గ్రాఫిక్స్ లో చూపింది ఏంటి, కట్టింది ఏంటి సోంబేరు ? నీ పరిపాలనాలాగా చెత్తగా ఉందీ జగన్  …",against
"మాది పేద కుటుంబం, నా అల్లుడు జగనన్న వల్లే బతికాడు",favour
"పిల్లలకు మంచి మేనమామలా, పిల్లల తల్లులకు మంచి అన్నలా ఈ కార్యక్రమాన్ని చేపడుతున్నాం మనం చేయకపోతే ఇంకెవరు చేస్తార…",favour
"షడ్రుచుల సమ్మేళనంతో ప్రారంభమయ్యే ఉగాది తెలుగు లోగిళ్ళలో నూతన సంవత్సర శోభను తెస్తూ, కొత్త లక్ష్యాలకు, కొత్త ఆలోచనల…",neutral
ఉగాది శభాకాంక్షలు అన్న,neutral
"అమరావతి: తాడేపల్లిలోని ముఖ్యమంత్రి జగన్ ఇంట ఉగాది వేడుకలు -పాల్గొననున్న ముఖ్యమంత్రి దంపతులు వైఎస్ జగన్, వైఎస్ భారతి…",favour
రాష్ట్ర ప్రజలందరికీ శ్రీ శోభకృత్ నామ సంవత్సర ఉగాది శుభాకాంక్షలు ఈ నూతన సంవత్సరంలో రాష్ట్రంలోని ప్రతి ఇల్లు ఆయురా…,neutral
"రాష్ట్ర ప్రజలందరికీ ఉగాది శుభాకాంక్షలు శోభకృత్ నామ సంవత్సరంలో అన్నీ శుభాలు జరగాలని, రైతులకు మేలు కలగాలని, నా అక్కచెల్లెమ్మలు…",neutral
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
"జగన్ మామ మకు అన్ని ఇస్తున్నారు బ్యాగ్, షు బుక్స్చంద్రబాబు మాకు ఏమి ఇవ్వలేదు",favour
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
ఏపీలో ఆసక్తికరంగా ఎమ్మెల్యే కోటా ఎమ్మెల్సీ ఎన్నికలు -,neutral
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
లోను కావాలంటే నా కాళ్ళు పట్టుకో అన్నారు టీడీపీ వాళ్లు,against
"మాది పేద కుటుంబం, నా అల్లుడు జగనన్న వల్లే బతికాడు",favour
గుండెల్లో నుంచి వచ్చే అభిమానం అంటే బహుశా ఇదేనేమో,favour
ప్ర‌పంచ వ్యాప్తంగా ఉన్న తెలుగు ప్ర‌జ‌లంద‌రికీ శ్రీ శోభ‌కృత్ నామ సంవ‌త్స‌ర ఉగాది శుభాకాంక్ష‌లు వైఎస్ జగన్ మోహన్Reddy…,favour
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,favour
"కాలం పరుగులో మరో మైలురాయి ఈ కొత్త ఏడాది గతించిన కాలాన్ని మరిచిపోయి, కొత్త ఏడాదికి ఘన స్వాగతం పలుకుతూ,ఈ ఏడాది పొడవనా విజయం, అ…",against
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
పిల్లల విషయంలో 2014-2019 ఉన్న అతను పెద్దగా చేసింది ఏంలేదు but జగన్ మాత్రం పిల్లల కోసం పర్లేదు బానే చేస్తున్నాడు ఇప్పటి…,favour
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
రోల్ మోడల్ జగనన్న,favour
జగన్ రాష్ట్ర ప్రజలకి ysrcp అభిమానులకు కార్యకర్తలకు ఉగాది శుభాకాంక్షలు,favour
నూతన సంవత్సర శుభాకాంక్షలు సార్,favour
"కాలం పరుగులో మరో మైలురాయి ఈ కొత్త ఏడాది గతించిన కాలాన్ని మరిచిపోయి, కొత్త ఏడాదికి ఘన స్వాగతం పలుకుతూ,ఈ ఏడాది పొడవనా విజయం, అ…",favour
"Details Thre బట్టబయలు అయినా పవన్ కళ్యాణ్ అక్రమా సంబంధం రంగలోకి చిరంజీవి, నాగబాబు ఆసలు ఎవరూ ఆ జనసేన వీరా మ…",favour
ప్ర‌పంచ వ్యాప్తంగా ఉన్న తెలుగు ప్ర‌జ‌లంద‌రికీ శ్రీ శోభ‌కృత్ నామ సంవ‌త్స‌ర ఉగాది శుభాకాంక్ష‌లు,favour
"జగన్ మామ మకు అన్ని ఇస్తున్నారు బ్యాగ్, షు బుక్స్చంద్రబాబు మాకు ఏమి ఇవ్వలేదు",favour
విశ్వ నాయకుడు,favour
భావితరం కోసమే ప్రభుత్వ బడుల్లో విప్లవాత్మక సంస్కరణలు అమలు,favour
అంగ‌న్‌వాడీ కార్య‌క‌ర్త‌లు ధ‌ర్నా చేస్తే వారిని గుర్రాల‌తో తొక్కించిన చ‌రిత్ర మీది అప్పుడు ఆ విష‌యాన్ని ప‌ట్టించుకోలేదు ఎ…,favour
జగనన్న గోరుముద్దలో భాగంగా విద్యార్థులకు అదనంగా రాగిజావ,favour
ఉగాది శుాబాకాంక్షలు సార్,favour
జగన్ Wishes: రాష్ట్రం సుభిక్షంగా ఉండాలి సిఎం శుభాకాంక్షలు,favour
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,favour
మీకు మీ కుటుంబానికి శోభకృత ఉగాది శుభాకాంక్షలు,favour
తెలుగువారందరికీ శుభాకాంక్షలు ఈ శోభకృత్ నామ సంవత్సరం మీ అందరి జీవితాలలో ప్రగతి శోభను నింపాలి కొత్త సంవత్సరం…,favour
రాష్ట్ర ప్రజలందరికీ శ్రీ శోభకృత్ నామ సంవత్సర ఉగాది శుభాకాంక్షలు ఈ నూతన సంవత్సరంలో రాష్ట్రంలోని ప్రతి ఇల్లు ఆయురా…,favour
రాష్ట్ర ప్రజలందరికీ శ్రీ శోభకృత్ నామ సంవత్సర ఉగాది శుభాకాంక్షలు ఈ నూతన సంవత్సరంలో రాష్ట్రంలోని ప్రతి ఇల్లు ఆయురా…,favour
జగన్ మనకు దేశాలు దాటి కూడా మన ఆర్టిస్ట్ లు ఉన్నారా దేవుడా,favour
చూస్తూచూస్తూonr year ఈ రోజు పబ్లో పచ్చడి,neutral
జగన్ రెడ్డి 17 కోట్ల colleges పెట్టాడట Avi నిర్మాణం లో వున్నాయట లండన్ మందులు పడలేదు అనుకుంటా?,against
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
"అదే సహనం అదే సంయమనం  అదే చిరునవ్వు అదే ఆత్మస్థైర్యం సానుభూతి అనే పదాన్ని వాడుకోవాలంటే, జగనన్నకి ఉన్నంత అవకాశం…",favour
"""AP- జగనన్న దార్శనికతతో ఆంధ్రప్రదేశ్ పారిశ్రామిక వేత్తలకు సరికొత్త హాట్‌స్పాట్‌గా మారింది """,favour
పట్టభద్రుల ఎన్నికల ఓటింగ్ సరళి 2019 అసెంబ్లీ ఎన్నికలతో చూస్తే ఎలా ఉంది? MLC ఎన్నికల సరళిని ఆధారంగా చేసుకుని చూస్తే 2024 లో T…,favour
జగన్ రెడ్డి 17 కోట్ల colleges పెట్టాడట Avi నిర్మాణం లో వున్నాయట లండన్ మందులు పడలేదు అనుకుంటా?,against
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
వైసీపీతో బీజేపీ కలిసిపోయిందనే ప్రచారం నష్టం చేసింది: బీజేపీ నేత మాధవ్‌ …,favour
పట్టభద్రుల ఎన్నికల ఓటింగ్ సరళి 2019 అసెంబ్లీ ఎన్నికలతో చూస్తే ఎలా ఉంది? MLC ఎన్నికల సరళిని ఆధారంగా చేసుకుని చూస్తే 2024 లో T…,neutral
పట్టభద్రుల ఎన్నికల ఓటింగ్ సరళి 2019 అసెంబ్లీ ఎన్నికలతో చూస్తే ఎలా ఉంది? MLC ఎన్నికల సరళిని ఆధారంగా చేసుకుని చూస్తే 2024 లో T…,neutral
పట్టభద్రుల ఎన్నికల ఓటింగ్ సరళి 2019 అసెంబ్లీ ఎన్నికలతో చూస్తే ఎలా ఉంది? MLC ఎన్నికల సరళిని ఆధారంగా చేసుకుని చూస్తే 2024 లో T…,neutral
పట్టభద్రుల ఎన్నికల ఓటింగ్ సరళి 2019 అసెంబ్లీ ఎన్నికలతో చూస్తే ఎలా ఉంది? MLC ఎన్నికల సరళిని ఆధారంగా చేసుకుని చూస్తే 2024 లో T…,neutral
పట్టభద్రుల ఎన్నికల ఓటింగ్ సరళి 2019 అసెంబ్లీ ఎన్నికలతో చూస్తే ఎలా ఉంది? MLC ఎన్నికల సరళిని ఆధారంగా చేసుకుని చూస్తే 2024 లో T…,neutral
వెళ్ళండ్రా బాబు వెళ్ళండి  …,neutral
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,neutral
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
జగన్ గాడి నోటిలో నీ మోడ్డ ఇరికింద,against
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
పట్టభద్రుల ఎన్నికల ఓటింగ్ సరళి 2019 అసెంబ్లీ ఎన్నికలతో చూస్తే ఎలా ఉంది? MLC ఎన్నికల సరళిని ఆధారంగా చేసుకుని చూస్తే 2024 లో T…,favour
Ap సీఎం ys జగన్ మోహన్ గారికి మరియు తెలుగు ప్రేక్షకులకు వైఎస్సార్సీపీ అభిమానులకు కార్యకర్తలకు ఉగాది శుభకాం…,favour
"ఏపీ, తెలంగాణ రాజకీయ సమస్యలు… స్వయంకృతమేగా? రెండు తెలుగు రాష్ట్రాలలో చాలా విచిత్రమైన రాజకీయ పరిస్థితులు నెలకొని ఉన్నాయి ఇందు…",favour
"దత్తపుత్రుడు కి కూడా ఒక గుడ్డు, ఒక గ్లాస్ రాగి జావ పంపించండి జగన్ గారూ?",favour
